TID,Team Name,Manager,Rider,Points
61967,Boonens on cocaine,Juraj,Pogačar,600
61967,Boonens on cocaine,Juraj,Van Der Poel,720
61967,Boonens on cocaine,Juraj,Ganna,660
61967,Boonens on cocaine,Juraj,Tjøtta,0
61967,Boonens on cocaine,Juraj,Sütterlin,0
61967,Boonens on cocaine,Juraj,Vinokurov,0
63016,Short term glory,Jon,Pedersen,300
63016,Short term glory,Jon,Van Der Poel,720
63016,Short term glory,Jon,Ganna,660
63016,Short term glory,Jon,Tulett,180
63016,Short term glory,Jon,Pluimers,0
63016,Short term glory,Jon,Skaarseth,0
20487,Pedaling Squares,John,Pogačar,600
20487,Pedaling Squares,John,Van Der Poel,720
20487,Pedaling Squares,John,Matthews,420
20487,Pedaling Squares,John,Skaarseth,0
20487,Pedaling Squares,John,Sütterlin,0
20487,Pedaling Squares,John,Azparren,0
61998,Combattant du Nord,Rogier,Van Der Poel,720
61998,Combattant du Nord,Rogier,Ganna,660
61998,Combattant du Nord,Rogier,Pedersen,300
61998,Combattant du Nord,Rogier,Sütterlin,0
61998,Combattant du Nord,Rogier,Vauquelin,0
61998,Combattant du Nord,Rogier,Azparren,0
96890,Turn Down for Wout,Carson,Pogačar,600
96890,Turn Down for Wout,Carson,Pedersen,300
96890,Turn Down for Wout,Carson,Cort,330
96890,Turn Down for Wout,Carson,Sobrero,0
96890,Turn Down for Wout,Carson,Pluimers,0
96890,Turn Down for Wout,Carson,Tulett,180
96535,Nice For Watts,Rihards,Pogačar,600
96535,Nice For Watts,Rihards,Van Der Poel,720
96535,Nice For Watts,Rihards,Mihkels,0
96535,Nice For Watts,Rihards,Aular,36
96535,Nice For Watts,Rihards,Askey,0
96535,Nice For Watts,Rihards,Tarozzi,0
74628,Spin Cycle,Dane,Pogačar,600
74628,Spin Cycle,Dane,Turconi,120
74628,Spin Cycle,Dane,Kooij,285
74628,Spin Cycle,Dane,Campenaerts,0
74628,Spin Cycle,Dane,Pedersen,300
74628,Spin Cycle,Dane,Skaarseth,0
61971,Marss,Simis,Pogačar,600
61971,Marss,Simis,Milan,0
61971,Marss,Simis,Ganna,660
61971,Marss,Simis,Tarozzi,0
61971,Marss,Simis,Pluimers,0
61971,Marss,Simis,Quartucci,0
62321,Peaky blunders,Manuel,Pogačar,600
62321,Peaky blunders,Manuel,Milan,0
62321,Peaky blunders,Manuel,Ganna,660
62321,Peaky blunders,Manuel,Campenaerts,0
62321,Peaky blunders,Manuel,Hamilton,0
62321,Peaky blunders,Manuel,Tjøtta,0
96467,Buba Rače | Lease a Pate,Inga,Pogačar,600
96467,Buba Rače | Lease a Pate,Inga,Milan,0
96467,Buba Rače | Lease a Pate,Inga,Ganna,660
96467,Buba Rače | Lease a Pate,Inga,Vauquelin,0
96467,Buba Rače | Lease a Pate,Inga,Azparren,0
96467,Buba Rače | Lease a Pate,Inga,Skaarseth,0
