TID,Team Name,Manager,Rider,Points
63016,Short term glory,Jon,Martinez,121
63016,Short term glory,Jon,Ayuso,239
63016,Short term glory,Jon,Berrade,0
63016,Short term glory,Jon,Van Eetvelt,144
63016,Short term glory,Jon,Groves,293
63016,Short term glory,Jon,De Pooter,5
63016,Short term glory,Jon,Brennan,360
63016,Short term glory,Jon,Laurance,95
63016,Short term glory,Jon,Planckaert,113
96467,Buba Rače | Lease a Pate,Inga,Ayuso,239
96467,Buba Rače | Lease a Pate,Inga,Yates,49
96467,Buba Rače | Lease a Pate,Inga,Van Eetvelt,144
96467,Buba Rače | Lease a Pate,Inga,Groves,293
96467,Buba Rače | Lease a Pate,Inga,Soler,25
96467,Buba Rače | Lease a Pate,Inga,Brennan,360
96467,Buba Rače | Lease a Pate,Inga,Foldager,30
96467,Buba Rače | Lease a Pate,Inga,Babor,0
96467,Buba Rače | Lease a Pate,Inga,Schelling,2
61998,Combattant du Nord,Rogier,Ayuso,239
61998,Combattant du Nord,Rogier,Van Eetvelt,144
61998,Combattant du Nord,Rogier,Gall,0
61998,Combattant du Nord,Rogier,Kämna,0
61998,Combattant du Nord,Rogier,Torres,19
61998,Combattant du Nord,Rogier,Schelling,2
61998,Combattant du Nord,Rogier,Brennan,360
61998,Combattant du Nord,Rogier,Van Den Berg,60
61998,Combattant du Nord,Rogier,Groves,293
61967,Boonens on cocaine,Juraj,Ayuso,239
61967,Boonens on cocaine,Juraj,Roglič,186
61967,Boonens on cocaine,Juraj,Bittner,93
61967,Boonens on cocaine,Juraj,De Plus,59
61967,Boonens on cocaine,Juraj,Serry,4
61967,Boonens on cocaine,Juraj,Van Eetvelt,144
61967,Boonens on cocaine,Juraj,Kämna,0
61967,Boonens on cocaine,Juraj,Brennan,360
61967,Boonens on cocaine,Juraj,Schelling,2
96535,Nice For Watts,Rihards,Groves,293
96535,Nice For Watts,Rihards,Ayuso,239
96535,Nice For Watts,Rihards,Fortunato,2
96535,Nice For Watts,Rihards,Aniołkowski,50
96535,Nice For Watts,Rihards,Brennan,360
96535,Nice For Watts,Rihards,De Pooter,5
96535,Nice For Watts,Rihards,Yates,49
96535,Nice For Watts,Rihards,Paret-Peintre,4
96535,Nice For Watts,Rihards,Uriarte,33
61971,Marss,Simis,Roglič,186
61971,Marss,Simis,Gall,0
61971,Marss,Simis,Groves,293
61971,Marss,Simis,Soler,25
61971,Marss,Simis,Barta,0
61971,Marss,Simis,Brennan,360
61971,Marss,Simis,Paret-Peintre,4
61971,Marss,Simis,Fortunato,2
61971,Marss,Simis,Geoghegan Hart,0
62321,Peaky blunders,Manuel,Roglič,186
62321,Peaky blunders,Manuel,Bernal,76
62321,Peaky blunders,Manuel,Gall,0
62321,Peaky blunders,Manuel,Martinez,121
62321,Peaky blunders,Manuel,Poels,8
62321,Peaky blunders,Manuel,Castellon,44
62321,Peaky blunders,Manuel,Geoghegan Hart,0
62321,Peaky blunders,Manuel,Hayter,4
62321,Peaky blunders,Manuel,Torres,0
