TID,Team Name,Manager,Rider,Points
63016,Short term glory,Jon,Martinez,228
63016,Short term glory,Jon,Ayuso,400
63016,Short term glory,Jon,Berrade,0
63016,Short term glory,Jon,Van Eetvelt,219
63016,Short term glory,Jon,Groves,293
63016,Short term glory,Jon,De Pooter,5
63016,Short term glory,Jon,Brennan,366
63016,Short term glory,Jon,Laurance,100
63016,Short term glory,Jon,Planckaert,113
61967,Boonens on cocaine,Juraj,Ayuso,400
61967,Boonens on cocaine,Juraj,Roglič,391
61967,Boonens on cocaine,Juraj,Bittner,93
61967,Boonens on cocaine,Juraj,De Plus,70
61967,Boonens on cocaine,Juraj,Serry,4
61967,Boonens on cocaine,Juraj,Van Eetvelt,219
61967,Boonens on cocaine,Juraj,Kämna,10
61967,Boonens on cocaine,Juraj,Brennan,366
61967,Boonens on cocaine,Juraj,Schelling,8
61998,Combattant du Nord,Rogier,Ayuso,400
61998,Combattant du Nord,Rogier,Van Eetvelt,219
61998,Combattant du Nord,Rogier,Gall,70
61998,Combattant du Nord,Rogier,Kämna,10
61998,Combattant du Nord,Rogier,Torres,31
61998,Combattant du Nord,Rogier,Schelling,8
61998,Combattant du Nord,Rogier,Brennan,366
61998,Combattant du Nord,Rogier,Van Den Berg,60
61998,Combattant du Nord,Rogier,Groves,293
96467,Buba Rače | Lease a Pate,Inga,Ayuso,400
96467,Buba Rače | Lease a Pate,Inga,Yates,61
96467,Buba Rače | Lease a Pate,Inga,Van Eetvelt,219
96467,Buba Rače | Lease a Pate,Inga,Groves,293
96467,Buba Rače | Lease a Pate,Inga,Soler,56
96467,Buba Rače | Lease a Pate,Inga,Brennan,366
96467,Buba Rače | Lease a Pate,Inga,Foldager,30
96467,Buba Rače | Lease a Pate,Inga,Babor,0
96467,Buba Rače | Lease a Pate,Inga,Schelling,8
96535,Nice For Watts,Rihards,Groves,293
96535,Nice For Watts,Rihards,Ayuso,400
96535,Nice For Watts,Rihards,Fortunato,8
96535,Nice For Watts,Rihards,Aniołkowski,50
96535,Nice For Watts,Rihards,Brennan,366
96535,Nice For Watts,Rihards,De Pooter,5
96535,Nice For Watts,Rihards,Yates,61
96535,Nice For Watts,Rihards,Paret-Peintre,4
96535,Nice For Watts,Rihards,Uriarte,55
61971,Marss,Simis,Roglič,391
61971,Marss,Simis,Gall,70
61971,Marss,Simis,Groves,293
61971,Marss,Simis,Soler,56
61971,Marss,Simis,Barta,4
61971,Marss,Simis,Brennan,366
61971,Marss,Simis,Paret-Peintre,4
61971,Marss,Simis,Fortunato,8
61971,Marss,Simis,Geoghegan Hart,0
62321,Peaky blunders,Manuel,Roglič,391
62321,Peaky blunders,Manuel,Bernal,86
62321,Peaky blunders,Manuel,Gall,70
62321,Peaky blunders,Manuel,Martinez,228
62321,Peaky blunders,Manuel,Poels,40
62321,Peaky blunders,Manuel,Castellon,44
62321,Peaky blunders,Manuel,Geoghegan Hart,0
62321,Peaky blunders,Manuel,Hayter,4
62321,Peaky blunders,Manuel,Torres,4
