TID,Team Name,Manager,Rider,Points
63016,Short term glory,Jon,Martinez,249
63016,Short term glory,Jon,Ayuso,471
63016,Short term glory,Jon,Berrade,0
63016,Short term glory,Jon,Van Eetvelt,232
63016,Short term glory,Jon,Groves,293
63016,Short term glory,Jon,De Pooter,5
63016,Short term glory,Jon,Brennan,532
63016,Short term glory,Jon,Laurance,170
63016,Short term glory,Jon,Planckaert,117
61967,Boonens on cocaine,Juraj,Ayuso,471
61967,Boonens on cocaine,Juraj,Roglič,430
61967,Boonens on cocaine,Juraj,Bittner,193
61967,Boonens on cocaine,Juraj,De Plus,85
61967,Boonens on cocaine,Juraj,Serry,4
61967,Boonens on cocaine,Juraj,Van Eetvelt,232
61967,Boonens on cocaine,Juraj,Kämna,10
61967,Boonens on cocaine,Juraj,Brennan,532
61967,Boonens on cocaine,Juraj,Schelling,10
61998,Combattant du Nord,Rogier,Ayuso,471
61998,Combattant du Nord,Rogier,Van Eetvelt,232
61998,Combattant du Nord,Rogier,Gall,70
61998,Combattant du Nord,Rogier,Kämna,10
61998,Combattant du Nord,Rogier,Torres,41
61998,Combattant du Nord,Rogier,Schelling,10
61998,Combattant du Nord,Rogier,Brennan,532
61998,Combattant du Nord,Rogier,Van Den Berg,150
61998,Combattant du Nord,Rogier,Groves,293
96467,Buba Rače | Lease a Pate,Inga,Ayuso,471
96467,Buba Rače | Lease a Pate,Inga,Yates,71
96467,Buba Rače | Lease a Pate,Inga,Van Eetvelt,232
96467,Buba Rače | Lease a Pate,Inga,Groves,293
96467,Buba Rače | Lease a Pate,Inga,Soler,67
96467,Buba Rače | Lease a Pate,Inga,Brennan,532
96467,Buba Rače | Lease a Pate,Inga,Foldager,30
96467,Buba Rače | Lease a Pate,Inga,Babor,0
96467,Buba Rače | Lease a Pate,Inga,Schelling,10
96535,Nice For Watts,Rihards,Groves,293
96535,Nice For Watts,Rihards,Ayuso,471
96535,Nice For Watts,Rihards,Fortunato,10
96535,Nice For Watts,Rihards,Aniołkowski,50
96535,Nice For Watts,Rihards,Brennan,532
96535,Nice For Watts,Rihards,De Pooter,5
96535,Nice For Watts,Rihards,Yates,71
96535,Nice For Watts,Rihards,Paret-Peintre,4
96535,Nice For Watts,Rihards,Uriarte,56
61971,Marss,Simis,Roglič,430
61971,Marss,Simis,Gall,70
61971,Marss,Simis,Groves,293
61971,Marss,Simis,Soler,67
61971,Marss,Simis,Barta,6
61971,Marss,Simis,Brennan,532
61971,Marss,Simis,Paret-Peintre,4
61971,Marss,Simis,Fortunato,10
61971,Marss,Simis,Geoghegan Hart,0
62321,Peaky blunders,Manuel,Roglič,430
62321,Peaky blunders,Manuel,Bernal,100
62321,Peaky blunders,Manuel,Gall,70
62321,Peaky blunders,Manuel,Martinez,249
62321,Peaky blunders,Manuel,Poels,44
62321,Peaky blunders,Manuel,Castellon,54
62321,Peaky blunders,Manuel,Geoghegan Hart,0
62321,Peaky blunders,Manuel,Hayter,4
62321,Peaky blunders,Manuel,Torres,6
