TID,Team Name,Manager,Rider,Points
61967,Boonens on cocaine,Juraj,Yates,255
61967,Boonens on cocaine,Juraj,Ulissi,114
61967,Boonens on cocaine,Juraj,Del Toro,300
61967,Boonens on cocaine,Juraj,Carapaz,90
61967,Boonens on cocaine,Juraj,Rubio,180
61967,Boonens on cocaine,Juraj,Tulett,270
61998,Combattant du Nord,Rogier,Carapaz,90
61998,Combattant du Nord,Rogier,Yates,255
61998,Combattant du Nord,Rogier,Del Toro,300
61998,Combattant du Nord,Rogier,Storer,129
61998,Combattant du Nord,Rogier,Johannessen,240
61998,Combattant du Nord,Rogier,Fortunato,147
96890,Turn Down for Wout,Carson,Tejada,0
96890,Turn Down for Wout,Carson,Carapaz,90
96890,Turn Down for Wout,Carson,Del Toro,300
96890,Turn Down for Wout,Carson,Yates,255
96890,Turn Down for Wout,Carson,Johannessen,240
96890,Turn Down for Wout,Carson,Storer,129
96535,Nice For Watts,Rihards,Del Toro,300
96535,Nice For Watts,Rihards,Fortunato,147
96535,Nice For Watts,Rihards,Bennett,36
96535,Nice For Watts,Rihards,Storer,129
96535,Nice For Watts,Rihards,Tejada,0
96535,Nice For Watts,Rihards,Yates,255
61971,Marss,Simis,Yates,255
61971,Marss,Simis,Fortunato,147
61971,Marss,Simis,Storer,129
61971,Marss,Simis,Tejada,0
61971,Marss,Simis,Brenner,0
61971,Marss,Simis,Del Toro,300
63016,Short term glory,Jon,Del Toro,300
63016,Short term glory,Jon,Bettiol,0
63016,Short term glory,Jon,Yates,255
63016,Short term glory,Jon,Carapaz,90
63016,Short term glory,Jon,Formolo,0
63016,Short term glory,Jon,Rubio,180
96467,Buba Rače | Lease a Pate,Inga,Yates,255
96467,Buba Rače | Lease a Pate,Inga,Bettiol,0
96467,Buba Rače | Lease a Pate,Inga,Ulissi,114
96467,Buba Rače | Lease a Pate,Inga,Ballerini,0
96467,Buba Rače | Lease a Pate,Inga,Del Toro,300
96467,Buba Rače | Lease a Pate,Inga,Fortunato,147
74628,Spin Cycle,Dane,Hirschi,102
74628,Spin Cycle,Dane,Scaroni,0
74628,Spin Cycle,Dane,Yates,255
74628,Spin Cycle,Dane,Woods,0
74628,Spin Cycle,Dane,Storer,129
74628,Spin Cycle,Dane,Bennett,36
62321,Peaky blunders,Manuel,Hirschi,102
62321,Peaky blunders,Manuel,Bettiol,0
62321,Peaky blunders,Manuel,Abrahamsen,15
62321,Peaky blunders,Manuel,Johannessen,240
62321,Peaky blunders,Manuel,Storer,129
62321,Peaky blunders,Manuel,Battistella,0
20487,Pedaling Squares,John,Pogačar,0
20487,Pedaling Squares,John,Mohorič,0
20487,Pedaling Squares,John,Cort,0
20487,Pedaling Squares,John,Bettiol,0
20487,Pedaling Squares,John,Schwarzmann,0
20487,Pedaling Squares,John,Stewart,0
