TID,Team Name,Manager,Rider,Points
61967,Boonens on cocaine,Juraj,Van Der Poel,585
61967,Boonens on cocaine,Juraj,Pedersen,450
61967,Boonens on cocaine,Juraj,Jorgenson,204
61967,Boonens on cocaine,Juraj,Tarling,20
61967,Boonens on cocaine,Juraj,Deman,0
61967,Boonens on cocaine,Juraj,Clynhens,0
63016,Short term glory,Jon,Van Der Poel,585
63016,Short term glory,Jon,Ganna,405
63016,Short term glory,Jon,Jorgenson,204
63016,Short term glory,Jon,Van Moer,0
63016,Short term glory,Jon,Aular,0
63016,Short term glory,Jon,Hollmann,60
74628,Spin Cycle,Dane,Van Aert,144
74628,Spin Cycle,Dane,Van Der Poel,585
74628,Spin Cycle,Dane,Ganna,405
74628,Spin Cycle,Dane,Riesebeek,60
74628,Spin Cycle,Dane,Price-Pejtersen,0
74628,Spin Cycle,Dane,Deweirdt,0
96535,Nice For Watts,Rihards,Pedersen,450
96535,Nice For Watts,Rihards,Van Aert,144
96535,Nice For Watts,Rihards,Van Der Poel,585
96535,Nice For Watts,Rihards,Clynhens,0
96535,Nice For Watts,Rihards,Chamberlain,0
96535,Nice For Watts,Rihards,Skaarseth,0
96890,Turn Down for Wout,Carson,Van Der Poel,585
96890,Turn Down for Wout,Carson,Pedersen,450
96890,Turn Down for Wout,Carson,Morgado,0
96890,Turn Down for Wout,Carson,Van Dijke,108
96890,Turn Down for Wout,Carson,Tarling,20
96890,Turn Down for Wout,Carson,Deweirdt,0
62321,Peaky blunders,Manuel,Van Der Poel,585
62321,Peaky blunders,Manuel,Van Aert,144
62321,Peaky blunders,Manuel,Ganna,405
62321,Peaky blunders,Manuel,Jungels,20
62321,Peaky blunders,Manuel,Schwarzmann,0
62321,Peaky blunders,Manuel,Veistroffer,0
61998,Combattant du Nord,Rogier,Van Der Poel,585
61998,Combattant du Nord,Rogier,Naesen,171
61998,Combattant du Nord,Rogier,Jorgenson,204
61998,Combattant du Nord,Rogier,Vacek,40
61998,Combattant du Nord,Rogier,Mihkels,0
61998,Combattant du Nord,Rogier,Skaarseth,0
61971,Marss,Simis,Van Der Poel,585
61971,Marss,Simis,Van Aert,144
61971,Marss,Simis,Veistroffer,0
61971,Marss,Simis,Pithie,0
61971,Marss,Simis,Tarling,20
61971,Marss,Simis,Mihkels,0
20487,Pedaling Squares,John,Pogačar,0
20487,Pedaling Squares,John,Van Der Poel,585
20487,Pedaling Squares,John,Matthews,36
20487,Pedaling Squares,John,Skaarseth,0
20487,Pedaling Squares,John,Sütterlin,0
20487,Pedaling Squares,John,Azparren,0
96467,Buba Rače | Lease a Pate,Inga,Milan,0
96467,Buba Rače | Lease a Pate,Inga,Van Gestel,0
96467,Buba Rače | Lease a Pate,Inga,Van Aert,144
96467,Buba Rače | Lease a Pate,Inga,Ganna,405
96467,Buba Rače | Lease a Pate,Inga,Hvideberg,0
96467,Buba Rače | Lease a Pate,Inga,Gaze,0
