TID,Team Name,Manager,Rider,Points
96467,Buba Rače | Lease a Pate,Inga,Milan,0
96467,Buba Rače | Lease a Pate,Inga,Lampaert,0
96467,Buba Rače | Lease a Pate,Inga,Philipsen,0
96467,Buba Rače | Lease a Pate,Inga,Jorgenson,0
96467,Buba Rače | Lease a Pate,Inga,Todome,0
96467,Buba Rače | Lease a Pate,Inga,Chamberlain,0
96890,Turn Down for Wout,Carson,Philipsen,0
96890,Turn Down for Wout,Carson,Pedersen,0
96890,Turn Down for Wout,Carson,Milan,0
96890,Turn Down for Wout,Carson,Tarling,0
96890,Turn Down for Wout,Carson,Watson,0
96890,Turn Down for Wout,Carson,Hesters,0
61967,Boonens on cocaine,Juraj,Pedersen,0
61967,Boonens on cocaine,Juraj,Philipsen,0
61967,Boonens on cocaine,Juraj,Kooij,0
61967,Boonens on cocaine,Juraj,Wærenskjold,0
61967,Boonens on cocaine,Juraj,Gazzoli,0
61967,Boonens on cocaine,Juraj,Vandenbranden,0
61998,Combattant du Nord,Rogier,Pedersen,0
61998,Combattant du Nord,Rogier,Wærenskjold,0
61998,Combattant du Nord,Rogier,Meeus,0
61998,Combattant du Nord,Rogier,Milan,0
61998,Combattant du Nord,Rogier,Mihkels,0
61998,Combattant du Nord,Rogier,Skaarseth,0
63016,Short term glory,Jon,Pedersen,0
63016,Short term glory,Jon,Ganna,0
63016,Short term glory,Jon,Kooij,0
63016,Short term glory,Jon,Magnier,0
63016,Short term glory,Jon,De Gendt,0
63016,Short term glory,Jon,Pickrell,0
96535,Nice For Watts,Rihards,Pedersen,0
96535,Nice For Watts,Rihards,Jorgenson,0
96535,Nice For Watts,Rihards,Molano,0
96535,Nice For Watts,Rihards,Matthews,0
96535,Nice For Watts,Rihards,Van Belle,0
96535,Nice For Watts,Rihards,Vercouillie,0
20487,Pedaling Squares,John,Pogačar,0
20487,Pedaling Squares,John,Van Der Poel,0
20487,Pedaling Squares,John,Matthews,0
20487,Pedaling Squares,John,Skaarseth,0
20487,Pedaling Squares,John,Sütterlin,0
20487,Pedaling Squares,John,Azparren,0
61971,Marss,Simis,Philipsen,0
61971,Marss,Simis,Milan,0
61971,Marss,Simis,Merlier,0
61971,Marss,Simis,Bennett,0
61971,Marss,Simis,Rickaert,0
61971,Marss,Simis,Skaarseth,0
62321,Peaky blunders,Manuel,Pedersen,0
62321,Peaky blunders,Manuel,Merlier,0
62321,Peaky blunders,Manuel,Milan,0
62321,Peaky blunders,Manuel,Abrahamsen,0
62321,Peaky blunders,Manuel,Vandenbranden,0
62321,Peaky blunders,Manuel,Thierry,0
74628,Spin Cycle,Dane,Pedersen,0
74628,Spin Cycle,Dane,Merlier,0
74628,Spin Cycle,Dane,Matthews,0
74628,Spin Cycle,Dane,Molano,0
74628,Spin Cycle,Dane,Vandenbranden,0
74628,Spin Cycle,Dane,Hoole,0
