TID,Team Name,Manager,Rider,Points
62321,Peaky blunders,Manuel,Pogačar,720
62321,Peaky blunders,Manuel,Van Der Poel,540
62321,Peaky blunders,Manuel,Ganna,345
62321,Peaky blunders,Manuel,Giddings,0
62321,Peaky blunders,Manuel,Sütterlin,0
62321,Peaky blunders,Manuel,Colman,0
74628,Spin Cycle,Dane,Ganna,345
74628,Spin Cycle,Dane,Pogačar,720
74628,Spin Cycle,Dane,Van Der Poel,540
74628,Spin Cycle,Dane,Colman,0
74628,Spin Cycle,Dane,Giddings,0
74628,Spin Cycle,Dane,Hesters,0
96535,Nice For Watts,Rihards,Pogačar,720
96535,Nice For Watts,Rihards,Van Der Poel,540
96535,Nice For Watts,Rihards,Ganna,345
96535,Nice For Watts,Rihards,Skaarseth,0
96535,Nice For Watts,Rihards,Bezza,0
96535,Nice For Watts,Rihards,Sütterlin,0
63016,Short term glory,Jon,Pogačar,720
63016,Short term glory,Jon,Van Der Poel,540
63016,Short term glory,Jon,Ganna,345
63016,Short term glory,Jon,Chamberlain,0
63016,Short term glory,Jon,Colman,0
63016,Short term glory,Jon,Deman,0
96890,Turn Down for Wout,Carson,Pogačar,720
96890,Turn Down for Wout,Carson,Van Der Poel,540
96890,Turn Down for Wout,Carson,Ganna,345
96890,Turn Down for Wout,Carson,Gazzoli,0
96890,Turn Down for Wout,Carson,Van Rooy,0
96890,Turn Down for Wout,Carson,Naberman,0
96467,Buba Rače | Lease a Pate,Inga,Van Der Poel,540
96467,Buba Rače | Lease a Pate,Inga,Pedersen,600
96467,Buba Rače | Lease a Pate,Inga,Ganna,345
96467,Buba Rače | Lease a Pate,Inga,Bjerg,90
96467,Buba Rače | Lease a Pate,Inga,Skaarseth,0
96467,Buba Rače | Lease a Pate,Inga,Ermakov,0
20487,Pedaling Squares,John,Pogačar,720
20487,Pedaling Squares,John,Van Der Poel,540
20487,Pedaling Squares,John,Matthews,216
20487,Pedaling Squares,John,Skaarseth,0
20487,Pedaling Squares,John,Sütterlin,0
20487,Pedaling Squares,John,Azparren,0
61971,Marss,Simis,Pogačar,720
61971,Marss,Simis,Pedersen,600
61971,Marss,Simis,Skujiņš,60
61971,Marss,Simis,Gautherat,0
61971,Marss,Simis,Planckaert,30
61971,Marss,Simis,Van Rooy,0
61967,Boonens on cocaine,Juraj,Powless,0
61967,Boonens on cocaine,Juraj,Van Der Poel,540
61967,Boonens on cocaine,Juraj,Pogačar,720
61967,Boonens on cocaine,Juraj,Bezza,0
61967,Boonens on cocaine,Juraj,Van Rooy,0
61967,Boonens on cocaine,Juraj,Van Hautegem,0
61998,Combattant du Nord,Rogier,Van Der Poel,540
61998,Combattant du Nord,Rogier,Pedersen,600
61998,Combattant du Nord,Rogier,Jorgenson,0
61998,Combattant du Nord,Rogier,Livyns,0
61998,Combattant du Nord,Rogier,Roosen,60
61998,Combattant du Nord,Rogier,Van Moer,0
