TID,Team Name,Manager,Rider,Points
20487,Pedaling Squares,John,Pogačar,0
20487,Pedaling Squares,John,Van Der Poel,0
20487,Pedaling Squares,John,Matthews,0
20487,Pedaling Squares,John,Skaarseth,0
20487,Pedaling Squares,John,Sütterlin,0
20487,Pedaling Squares,John,Azparren,0
61971,Marss,Simis,Philipsen,0
61971,Marss,Simis,Merlier,0
61971,Marss,Simis,Welsford,0
61971,Marss,Simis,Teutenberg,0
61971,Marss,Simis,Moschetti,0
61971,Marss,Simis,Fretin,0
62321,Peaky blunders,Manuel,Merlier,0
62321,Peaky blunders,Manuel,Groenewegen,0
62321,Peaky blunders,Manuel,Kristoff,0
62321,Peaky blunders,Manuel,Walscheid,0
62321,Peaky blunders,Manuel,Welsford,0
62321,Peaky blunders,Manuel,De Gendt,0
74628,Spin Cycle,Dane,Philipsen,0
74628,Spin Cycle,Dane,Merlier,0
74628,Spin Cycle,Dane,Groenewegen,0
74628,Spin Cycle,Dane,Kristoff,0
74628,Spin Cycle,Dane,Price-Pejtersen,0
74628,Spin Cycle,Dane,Belmans,0
96535,Nice For Watts,Rihards,Merlier,0
96535,Nice For Watts,Rihards,Groenewegen,0
96535,Nice For Watts,Rihards,Philipsen,0
96535,Nice For Watts,Rihards,Fretin,0
96535,Nice For Watts,Rihards,Moschetti,0
96535,Nice For Watts,Rihards,Vercouillie,0
61967,Boonens on cocaine,Juraj,Merlier,0
61967,Boonens on cocaine,Juraj,Philipsen,0
61967,Boonens on cocaine,Juraj,Welsford,0
61967,Boonens on cocaine,Juraj,Bol,0
61967,Boonens on cocaine,Juraj,Bittner,0
61967,Boonens on cocaine,Juraj,Walscheid,0
61998,Combattant du Nord,Rogier,Merlier,0
61998,Combattant du Nord,Rogier,Thijssen,0
61998,Combattant du Nord,Rogier,Philipsen,0
61998,Combattant du Nord,Rogier,Bittner,0
61998,Combattant du Nord,Rogier,Belmans,0
61998,Combattant du Nord,Rogier,Groenewegen,0
63016,Short term glory,Jon,Philipsen,0
63016,Short term glory,Jon,Merlier,0
63016,Short term glory,Jon,Thijssen,0
63016,Short term glory,Jon,Welsford,0
63016,Short term glory,Jon,Fretin,0
63016,Short term glory,Jon,Raccagni Noviero,0
96467,Buba Rače | Lease a Pate,Inga,Merlier,0
96467,Buba Rače | Lease a Pate,Inga,Groenewegen,0
96467,Buba Rače | Lease a Pate,Inga,Kristoff,0
96467,Buba Rače | Lease a Pate,Inga,Van Poppel,0
96467,Buba Rače | Lease a Pate,Inga,Consonni,0
96467,Buba Rače | Lease a Pate,Inga,Rickaert,0
96890,Turn Down for Wout,Carson,Philipsen,0
96890,Turn Down for Wout,Carson,Merlier,0
96890,Turn Down for Wout,Carson,Fretin,0
96890,Turn Down for Wout,Carson,Welsford,0
96890,Turn Down for Wout,Carson,Kubiš,0
96890,Turn Down for Wout,Carson,Bittner,0
