TID,Team Name,Manager,Rider,Points
74628,Spin Cycle,Dane,Démare,0
74628,Spin Cycle,Dane,De Lie,0
74628,Spin Cycle,Dane,Merlier,0
74628,Spin Cycle,Dane,Van Lerberghe,0
74628,Spin Cycle,Dane,Milan,0
74628,Spin Cycle,Dane,Hesters,0
96535,Nice For Watts,Rihards,Merlier,0
96535,Nice For Watts,Rihards,Kooij,0
96535,Nice For Watts,Rihards,Démare,0
96535,Nice For Watts,Rihards,Milan,0
96535,Nice For Watts,Rihards,Barbier,0
96535,Nice For Watts,Rihards,Mihkels,0
20487,Pedaling Squares,John,Pogačar,0
20487,Pedaling Squares,John,Van Der Poel,0
20487,Pedaling Squares,John,Matthews,0
20487,Pedaling Squares,John,Skaarseth,0
20487,Pedaling Squares,John,Sütterlin,0
20487,Pedaling Squares,John,Azparren,0
61971,Marss,Simis,Milan,0
61971,Marss,Simis,Philipsen,0
61971,Marss,Simis,Merlier,0
61971,Marss,Simis,Fretin,0
61971,Marss,Simis,Barbier,0
61971,Marss,Simis,Kubiš,0
62321,Peaky blunders,Manuel,Merlier,0
62321,Peaky blunders,Manuel,Milan,0
62321,Peaky blunders,Manuel,Groenewegen,0
62321,Peaky blunders,Manuel,Molano,0
62321,Peaky blunders,Manuel,Campenaerts,0
62321,Peaky blunders,Manuel,Thierry,0
96467,Buba Rače | Lease a Pate,Inga,Milan,0
96467,Buba Rače | Lease a Pate,Inga,Kooij,0
96467,Buba Rače | Lease a Pate,Inga,Groenewegen,0
96467,Buba Rače | Lease a Pate,Inga,Merlier,0
96467,Buba Rače | Lease a Pate,Inga,Declercq,0
96467,Buba Rače | Lease a Pate,Inga,Gaze,0
96890,Turn Down for Wout,Carson,Welsford,0
96890,Turn Down for Wout,Carson,Merlier,0
96890,Turn Down for Wout,Carson,Milan,0
96890,Turn Down for Wout,Carson,Fretin,0
96890,Turn Down for Wout,Carson,Wærenskjold,0
96890,Turn Down for Wout,Carson,De Vries,0
61967,Boonens on cocaine,Juraj,Merlier,0
61967,Boonens on cocaine,Juraj,Milan,0
61967,Boonens on cocaine,Juraj,Kristoff,0
61967,Boonens on cocaine,Juraj,Kooij,0
61967,Boonens on cocaine,Juraj,Moscon,0
61967,Boonens on cocaine,Juraj,Vinokurov,0
61998,Combattant du Nord,Rogier,Merlier,0
61998,Combattant du Nord,Rogier,Kooij,0
61998,Combattant du Nord,Rogier,Milan,0
61998,Combattant du Nord,Rogier,Jeannière,0
61998,Combattant du Nord,Rogier,Walls,0
61998,Combattant du Nord,Rogier,Fretin,0
63016,Short term glory,Jon,Merlier,0
63016,Short term glory,Jon,Milan,0
63016,Short term glory,Jon,Kooij,0
63016,Short term glory,Jon,Fretin,0
63016,Short term glory,Jon,Jeannière,0
63016,Short term glory,Jon,Hesters,0
